fips,pollutant,year,pred_wght,state_abbr,lat,lon
01037,o3,2017,37.65501901356356,AL,32.9759307825635,-86.1550470838028
01037,pm25,2017,7.371114145574174,AL,32.9759307825635,-86.1550470838028
01037,no2,2017,1.2329061642927908,AL,32.9759307825635,-86.1550470838028
01039,no2,2017,1.6673709063944802,AL,31.2824476525884,-86.4109901787369
01039,pm25,2017,7.297584608671737,AL,31.2824476525884,-86.4109901787369
01039,so2,2017,0.8055391647250505,AL,31.2824476525884,-86.4109901787369
01039,o3,2017,35.82219157222133,AL,31.2824476525884,-86.4109901787369
01041,o3,2017,36.09363842937628,AL,31.7434873364016,-86.2971077880052
01041,so2,2017,0.5580017163846702,AL,31.7434873364016,-86.2971077880052
01041,no2,2017,1.3605495812590318,AL,31.7434873364016,-86.2971077880052
01041,pm25,2017,7.007784913904129,AL,31.7434873364016,-86.2971077880052
