CountyFIPS,CountyName,StateAbbr,CASTHMA_AdjPrev,CASTHMA_Category,pred_wght_pm25,pred_wght_no2,pred_wght_o3,pred_wght_so2,CSMOKING_AdjPrev,Geolocation
19059,Dickinson,IA,8.2,Low,6.01198606011896,2.582239751664798,39.7855714644465,0.7798875304878689,16.5,POINT (-95.15099396 43.37782493)
47189,Wilson,TN,9.0,Low,7.404349132992343,4.1098613108804685,41.91949329585139,0.7189274273142797,18.5,POINT (-86.29704624 36.15405666)
55105,Rock,WI,9.5,Medium,7.967057928235835,5.256641903797522,41.29298427575292,0.5883801996937723,17.5,POINT (-89.07139603 42.67110842)
29223,Wayne,MO,11.3,High,5.926008321067401,1.5176712646905777,42.37778834394552,1.1286175924548096,29.2,POINT (-90.46164009 37.11261342)
27133,Rock,MN,8.9,Low,6.4522069985820965,3.7145578404372515,41.11615709378676,0.8213984681162189,18.6,POINT (-96.25304247 43.67486459)
48163,Frio,TX,7.8,Low,8.04224865031907,4.212111917673583,38.78949350108255,1.0757136306826955,18.5,POINT (-99.10808295 28.86777257)
51830,Williamsburg,VA,9.7,Medium,6.587309837855886,3.7571937335791326,40.7762039526632,0.6974557441085002,15.6,POINT (-76.70604303 37.27006959)
13037,Calhoun,GA,10.6,High,7.373513248945554,1.610453905622145,36.346032828598815,0.6549224031496912,28.1,POINT (-84.62399916 31.52834311)
36097,Schuyler,NY,10.6,High,5.238605079674777,2.0798795499466154,38.0652821653085,0.45138189393969425,21.0,POINT (-76.87496077 42.39366485)
50019,Orleans,VT,10.6,High,4.102876609381881,2.5672371726092824,34.70296968641191,0.555578523426824,21.0,POINT (-72.24336915 44.82900808)
48427,Starr,TX,8.9,Low,7.807721181517789,3.077368703084708,31.959793781071095,0.9069355996251826,20.8,POINT (-98.73826629 26.56224114)
19131,Mitchell,IA,8.6,Low,6.67561325669811,2.8306038902113024,38.65283964952579,0.8014120454607992,18.9,POINT (-92.78887576 43.35639379)
06009,Calaveras,CA,9.5,Medium,6.689031435601179,1.5876422379275799,53.703365811318974,0.5080400569667093,15.0,POINT (-120.55399 38.20431662)
38037,Grant,ND,9.2,Low,5.582651094565166,2.2421981754327582,40.291480810201236,0.9945564193460935,20.6,POINT (-101.6397077 46.35817514)
26145,Saginaw,MI,11.1,High,6.999741486623098,5.199085296650366,40.21183597795053,0.656277034790985,21.3,POINT (-84.05290208 43.33527195)
37193,Wilkes,NC,10.0,Medium,5.455284583079961,2.354040113108719,42.38002497659078,0.5385887723664767,23.3,POINT (-81.16272247 36.20624341)
29089,Howard,MO,10.2,Medium,7.636248854653867,2.258044793029027,42.13788252596991,0.8555729261941948,22.2,POINT (-92.69652567 39.14235077)
05145,White,AR,9.9,Medium,8.088733540246416,3.77615586072296,41.24126290959337,0.5925378320201989,23.3,POINT (-91.74483397 35.25617211)
01039,Covington,AL,10.3,High,7.0602436751893345,1.6189172631735964,36.7735013658613,0.60823006760211,24.7,POINT (-86.45156346 31.24869317)
22071,Orleans,LA,9.6,Medium,7.68288772913728,5.4703592709871804,37.965965994920374,0.9452714298132259,21.4,POINT (-89.93100099 30.06887418)
31039,Cuming,NE,8.2,Low,6.525812878547214,2.927396203762205,40.65486930895694,0.7898638531740674,16.9,POINT (-96.78730772 41.91637624)
13073,Columbia,GA,8.4,Low,7.3301863660487365,3.7204327812980966,39.21036651633515,0.6122215182079892,15.9,POINT (-82.26368138 33.54461092)
56027,Niobrara,WY,10.6,High,4.751423698379133,2.954105299734508,46.26621755683632,1.320339939746922,22.8,POINT (-104.4757321 43.0562499)
26035,Clare,MI,11.6,High,5.652257840929998,2.944168199487575,39.51376542495166,0.5890406744166871,25.7,POINT (-84.84810751 43.9879198)
19003,Adams,IA,8.6,Low,7.122295134735199,2.677696296330612,40.172153481104885,0.7252212613364778,20.0,POINT (-94.6993121 41.02901204)
39015,Brown,OH,10.8,High,7.300131406007552,2.341831159629836,44.17109564350562,0.7032618665463054,24.4,POINT (-83.86785142 38.93455003)
19157,Poweshiek,IA,8.4,Low,7.282401923125723,4.168465433213185,40.16205771989629,0.6317236889003909,18.0,POINT (-92.53093432 41.68656972)
32021,Mineral,NV,10.3,High,5.756685697937385,3.513434445286252,52.15889257430616,1.422615628340119,22.8,POINT (-118.4351192 38.53876788)
08057,Jackson,CO,9.6,Medium,4.145251441726597,2.833348491352474,52.19967714956933,1.1667860873776887,17.2,POINT (-106.3429878 40.66601351)
48491,Williamson,TX,7.5,Low,7.5845185137902975,4.800861856787077,41.45585004984175,0.6402507356385024,11.8,POINT (-97.60097295 30.64815883)
19153,Polk,IA,8.0,Low,7.060875240512956,5.907210398007848,39.31917821075002,0.5982827849973664,17.4,POINT (-93.57370726 41.68553392)
28159,Winston,MS,10.7,High,6.779610503896862,1.584147497597905,35.74462552000822,0.5754374185553709,22.3,POINT (-89.03431822 33.0883993)
12107,Putnam,FL,9.7,Medium,6.434065804196261,1.7366023932709769,34.73480789454765,0.7558570717164711,27.2,POINT (-81.74426877 29.60861786)
17017,Cass,IL,9.3,Low,7.800741338554521,3.2071506699876497,43.32566248954284,0.72614178023076,20.1,POINT (-90.24733059 39.97361133)
55031,Douglas,WI,9.8,Medium,5.028577787258964,4.294265299941004,33.296628013961005,1.0526770316396417,18.2,POINT (-91.91609431 46.43278766)
18077,Jefferson,IN,10.4,High,7.548804940437894,2.757645721538482,43.55528467806283,0.7519584963329254,22.5,POINT (-85.43825267 38.78583386)
16027,Canyon,ID,10.3,High,7.892043897426199,4.080343123563309,45.525061613850625,0.9006360557107177,17.7,POINT (-116.7092489 43.62515378)
48227,Howard,TX,8.0,Low,6.937779359373944,4.719456402648086,48.162491316925866,1.5382604220025569,18.7,POINT (-101.4356444 32.30621324)
54047,McDowell,WV,13.2,High,5.218117921457597,2.098226599523807,40.25446520478189,1.6469678515383188,33.7,POINT (-81.65398301 37.37831053)
08121,Washington,CO,9.8,Medium,5.431390173555964,3.227362253054784,49.09446761444432,0.7677715652882725,18.2,POINT (-103.2014136 39.97112969)
28071,Lafayette,MS,9.5,Medium,6.4681877049826575,2.8201266178540294,37.44946958514961,0.6628366482763832,16.9,POINT (-89.48460828 34.35683938)
36063,Niagara,NY,11.1,High,7.2120036464285535,4.4638103347202565,41.282377368329925,0.6833294218759481,20.9,POINT (-78.7458822 43.19969536)
06049,Modoc,CA,10.0,Medium,7.6863890242140975,2.2296745367583473,48.30038516797606,0.9552250737444042,17.2,POINT (-120.724791 41.58974607)
48457,Tyler,TX,9.0,Low,5.950260072682134,1.4254458629551288,34.98218780063879,0.5009600328055772,22.2,POINT (-94.37659868 30.77069885)
49047,Uintah,UT,10.5,High,4.888957723144195,3.7212767559025273,50.940507249747355,0.24450687933793191,13.8,POINT (-109.5180067 40.12464307)
12013,Calhoun,FL,9.1,Low,6.752949410551293,1.4381011674643454,35.0287507141822,0.6135502119096689,25.0,POINT (-85.19663919 30.40605417)
04021,Pinal,AZ,9.5,Medium,7.165938349131989,4.382329093156698,51.529604687451105,1.1247344165353677,17.4,POINT (-111.3447295 32.90442817)
06107,Tulare,CA,9.5,Medium,14.01112241638963,6.917041108171413,60.59165612902071,0.6849893717513315,14.9,POINT (-118.8012238 36.22061355)
06113,Yolo,CA,8.8,Low,9.652423398700343,5.57724925967796,45.38384559865779,0.6483777417658515,12.2,POINT (-121.9018521 38.68651609)
01009,Blount,AL,9.7,Medium,7.288259864438426,2.0603551338450514,41.27887483315224,0.6388301183602171,22.2,POINT (-86.56784586 33.98070621)
08099,Prowers,CO,9.4,Medium,6.192880086604126,3.399389636064741,48.60809321735829,1.2738024765158877,16.5,POINT (-102.3933004 37.95518014)
40141,Tillman,OK,10.1,Medium,7.3416086015494235,3.5258036290667634,47.49483320183481,1.01216711671017,20.4,POINT (-98.92418666 34.37275595)
05031,Craighead,AR,9.8,Medium,7.665476197944834,4.604033956449935,42.86778873163209,0.7379851087871293,21.6,POINT (-90.63229859 35.83160874)
20061,Geary,KS,9.5,Medium,6.6326650328333585,4.436754679036953,41.90866105076313,1.0035335613546843,18.1,POINT (-96.75244366 39.00212896)
19025,Calhoun,IA,8.6,Low,6.720636636735983,2.6854200273948607,39.96862702253768,0.8282106159791661,19.7,POINT (-94.64046395 42.38521126)
37199,Yancey,NC,9.6,Medium,5.142419017926452,1.8872764014482868,42.569650707801735,1.011994682475794,22.0,POINT (-82.30768713 35.89830177)
05051,Garland,AR,9.7,Medium,7.771769699537025,3.6545132982250066,38.61033987790109,0.505445212130576,21.0,POINT (-93.15048723 34.57659951)
27099,Mower,MN,9.0,Low,6.530965571576719,4.507112926181355,38.126614123944336,0.7638883617468597,19.0,POINT (-92.75235166 43.67138761)
27001,Aitkin,MN,9.5,Medium,4.8699635739802005,1.4341586503064159,34.42835835965116,0.7016497516653359,20.6,POINT (-93.41552389 46.6082571)
12045,Gulf,FL,9.5,Medium,6.1499893692168355,1.3841730825567067,34.666565090860026,0.44319630074652067,23.0,POINT (-85.22351197 29.9540337)
35039,Rio Arriba,NM,8.7,Low,3.4034387182819628,3.0058049995610605,51.42368909185992,0.40928991826924105,16.6,POINT (-106.6929242 36.50976044)
29025,Caldwell,MO,10.3,High,7.873341762220715,2.798694061823523,43.345325031110086,0.7248795618156382,24.1,POINT (-93.98287757 39.65574207)
31007,Banner,NE,8.1,Low,3.942534636630994,2.2039649865672257,48.18731691857722,0.5234988143331164,15.2,POINT (-103.7112005 41.54622526)
45037,Edgefield,SC,9.8,Medium,6.778360644537206,2.1729746432856136,39.540883022835764,0.5509581622292036,20.8,POINT (-81.96619212 33.77222217)
40111,Okmulgee,OK,11.4,High,7.305285300024802,3.1756493362036013,42.636206423942205,0.7684908757627911,24.0,POINT (-95.96432007 35.64659851)
13243,Randolph,GA,12.1,High,7.446041905814618,1.609059457457503,36.62386896131503,0.6767460779333737,28.0,POINT (-84.7533471 31.76233108)
08047,Gilpin,CO,8.8,Low,3.693462755071705,3.331310805621127,53.60696322368327,0.5175603758478419,13.2,POINT (-105.5224457 39.85718515)
12079,Madison,FL,9.6,Medium,6.645692414935925,2.2391887361322236,34.90290584020739,0.6568035358196561,24.2,POINT (-83.46982282 30.4443914)
19037,Chickasaw,IA,8.4,Low,6.850603306363792,2.7162411822620314,39.03338486497146,0.8571189322282131,19.2,POINT (-92.31765448 43.06006651)
06019,Fresno,CA,9.2,Low,13.02761323311679,9.083809269836195,58.841344976974085,0.557206281148887,14.3,POINT (-119.6510577 36.75819212)
48447,Throckmorton,TX,8.7,Low,5.268725778256761,2.562490394170518,46.07417102957566,0.27324637764940113,19.1,POINT (-99.21228102 33.17741013)
13103,Effingham,GA,8.9,Low,6.355519792756964,2.1022721430639373,36.368503917135975,0.7332609605752731,19.9,POINT (-81.34142795 32.36744006)
27043,Faribault,MN,9.1,Low,6.526418977219653,3.417929868322396,38.90057108916754,0.9543432049613191,19.5,POINT (-93.94781493 43.67387282)
31079,Hall,NE,7.6,Low,5.935716958388149,4.961232112167398,40.969203997508,0.9070246112082422,14.9,POINT (-98.50211261 40.87262356)
39055,Geauga,OH,9.8,Medium,6.486923180503058,2.4292846196444864,44.04863203973656,0.7452670828791987,19.1,POINT (-81.17861091 41.4998002)
48099,Coryell,TX,9.0,Low,7.118516858857126,3.5179625701490562,43.204969819805875,0.6514549435703015,19.2,POINT (-97.79936379 31.39078252)
29157,Perry,MO,9.9,Medium,7.7193763626062575,3.4696659845385915,43.4936275807433,0.48832580592495584,23.0,POINT (-89.82440099 37.70713875)
48363,Palo Pinto,TX,9.0,Low,6.5733365809986735,3.0470019508393023,44.015853153361036,0.7584636802004958,20.4,POINT (-98.31316207 32.75311943)
22119,Webster,LA,10.5,High,8.113622854676098,2.7972918388889756,37.99765824673158,0.71711598600401,26.3,POINT (-93.33447786 32.71289574)
20019,Chautauqua,KS,10.4,High,7.112271244815356,2.2894536525381093,42.52387244941266,0.9257151850584656,22.2,POINT (-96.24531969 37.14997344)
13177,Lee,GA,9.0,Low,7.648194346584411,3.1429690304047084,36.57347368869303,0.6885316435833913,18.7,POINT (-84.14055796 31.77951544)
28019,Choctaw,MS,10.3,High,6.326968013193029,1.365869993049216,35.555957041790215,0.6709131860987916,21.9,POINT (-89.24806949 33.34735095)
18141,St. Joseph,IN,9.7,Medium,8.232344475742382,7.137706817319601,42.03213905415706,0.5211064374426803,19.8,POINT (-86.28991252 41.61670681)
46111,Sanborn,SD,8.3,Low,6.39329665979277,2.363366509142905,41.38246346548372,0.6893812007117884,18.1,POINT (-98.09107674 44.02346322)
21127,Lawrence,KY,11.2,High,5.757591047175592,1.8806103165060921,38.94953449695608,0.9898527645767246,31.3,POINT (-82.7364628 38.06838679)
17139,Moultrie,IL,9.6,Medium,7.988362887167017,3.2492735444648218,44.26414286657325,1.017104600532211,20.4,POINT (-88.61929654 39.64136791)
46011,Brookings,SD,7.8,Low,6.31901457342101,3.9527189672681664,41.24087064531162,0.7793804452526913,14.3,POINT (-96.79063125 44.36983513)
21081,Grant,KY,10.1,Medium,7.720954085078266,3.1004942659334165,43.56085388490927,0.5644680605002023,26.1,POINT (-84.62436534 38.64889153)
53017,Douglas,WA,9.8,Medium,7.54415913959039,3.0619322989719477,36.365691188675925,1.0803207740429905,15.9,POINT (-119.6920354 47.73578993)
26115,Monroe,MI,10.7,High,7.786200899107269,5.303378897183142,42.36018961363315,0.8875394536731632,20.5,POINT (-83.53791194 41.92815089)
31113,Logan,NE,8.4,Low,4.346228206574748,2.3334289794947125,44.049262478923815,0.5209590950026389,17.7,POINT (-100.4817879 41.56649717)
13027,Brooks,GA,10.0,Medium,6.800448928005164,1.909238621382956,35.309090243232134,0.6029370089583388,22.5,POINT (-83.58055565 30.84217815)
24011,Caroline,MD,10.2,Medium,6.073618283166597,2.3696394535709455,43.94329891699413,0.6029932646731158,20.1,POINT (-75.82933895 38.87387467)
51197,Wythe,VA,10.0,Medium,6.211667216723815,3.8917815441803647,42.21443178518226,0.7452122719593524,21.4,POINT (-81.07838787 36.91686527)
39097,Madison,OH,10.0,Medium,7.766686881845849,4.4987460471019505,44.19668535878898,0.7354737651156448,23.1,POINT (-83.40014674 39.89428344)
46087,McCook,SD,8.5,Low,6.365391593514417,3.2862999106215143,41.58595804688958,0.7754965466315316,17.7,POINT (-97.36836568 43.67425068)
48383,Reagan,TX,7.4,Low,7.231875451171583,3.0823457859688452,47.83183093071119,1.6672424835688784,15.3,POINT (-101.5232659 31.36607041)
37003,Alexander,NC,9.6,Medium,6.293885428627931,2.3732321065364688,43.04872343308458,0.5710466677815417,22.4,POINT (-81.17707184 35.92073035)
54077,Preston,WV,10.6,High,5.731785612332904,2.181770533177033,40.78901779317557,1.1115367320910148,24.8,POINT (-79.66831581 39.46916009)
19079,Hamilton,IA,8.3,Low,6.677348155968691,3.7448593262377696,39.415687968860276,0.9159282009533497,17.7,POINT (-93.70672502 42.38395377)
41031,Jefferson,OR,10.7,High,6.714235231310982,2.546882189797134,39.5447608341687,1.1313883993496605,18.5,POINT (-121.1758128 44.62921988)
20145,Pawnee,KS,9.2,Low,6.895118354015483,3.39180715110529,44.41069063970457,1.0560586847415772,18.5,POINT (-99.2368498 38.18115215)
17081,Jefferson,IL,9.6,Medium,8.283866393873259,4.137185840087086,44.06367023779876,0.8185865756803921,20.9,POINT (-88.92399469 38.30021861)
49037,San Juan,UT,11.9,High,3.1650865953212013,2.6303101741224593,50.26098588261684,0.47867134782931614,16.8,POINT (-109.8050353 37.62568661)
28145,Union,MS,9.9,Medium,7.025344956405523,2.648950365738487,38.277580096340564,0.6408106930442341,21.4,POINT (-89.00392656 34.49027119)
48193,Hamilton,TX,8.9,Low,5.570201759593747,2.363387738028134,43.76186600254855,0.3427557405558754,20.5,POINT (-98.11083887 31.70470573)
13295,Walker,GA,9.5,Medium,6.772050143215349,2.626990443181034,41.47389163445249,0.8270294110193337,23.4,POINT (-85.30124895 34.7358293)
21145,McCracken,KY,9.7,Medium,7.945512918693045,3.7113166212436606,42.84254072753847,0.8325806150315817,22.5,POINT (-88.71223176 37.05376481)
38101,Ward,ND,8.3,Low,6.310705712345413,3.806184208952036,38.00722226735326,0.9530622157351395,17.5,POINT (-101.5417829 48.22167868)
17203,Woodford,IL,8.8,Low,7.721703520603934,3.9924551105809325,44.00647098228931,0.7941082775347063,16.3,POINT (-89.21105717 40.78829161)
18047,Franklin,IN,10.0,Medium,7.391033507950252,3.149615171119141,44.01098145580128,0.8081807405912412,22.3,POINT (-85.0602732 39.41468559)
45049,Hampton,SC,11.0,High,6.845226648728217,1.8684114451151685,36.58106439302218,0.7857608553971162,24.3,POINT (-81.14145589 32.77572485)
48291,Liberty,TX,9.2,Low,7.169453761039627,2.605410164530699,36.757218049034805,0.6294598236234852,21.6,POINT (-94.81211365 30.15142402)
22105,Tangipahoa,LA,10.1,Medium,7.461762343311162,3.344044055050352,37.14581647399552,0.5640610352745802,22.9,POINT (-90.40782054 30.63475234)
54107,Wood,WV,11.1,High,7.611516042413586,4.119826413909337,40.256708031145486,1.000964766153471,23.0,POINT (-81.51468367 39.21130304)
20135,Ness,KS,9.4,Medium,6.466718623014237,3.2937376066591675,44.774073265105706,1.0384137360700436,18.1,POINT (-99.91547333 38.47974157)
38063,Nelson,ND,8.6,Low,6.365959470873082,2.3943457814591693,36.833657116272484,0.9309406274217237,18.0,POINT (-98.19212605 47.92171706)
27065,Kanabec,MN,9.4,Medium,5.960620272198004,2.244426473561889,36.0591953443092,0.7399587821888098,21.6,POINT (-93.29311249 45.9452907)
39041,Delaware,OH,8.6,Low,8.034046555287139,4.519914634615321,43.12475916377289,0.7595792539672149,15.0,POINT (-83.0047215 40.27849576)
30025,Fallon,MT,9.5,Medium,5.296926987924926,2.904744017640363,41.59004142276857,1.1571235484204287,17.9,POINT (-104.4174229 46.33408629)
48257,Kaufman,TX,8.5,Low,8.589777021910415,3.8801432321111893,41.999426110809104,0.5601261423796774,17.6,POINT (-96.2880876 32.59936326)
49013,Duchesne,UT,10.3,High,4.787351747594841,4.382271174326887,51.713910903119036,0.34220221148131613,13.7,POINT (-110.4242955 40.2979086)
19015,Boone,IA,8.4,Low,6.559077135445357,3.1108259233909847,39.591422983787076,0.8182969447743892,19.0,POINT (-93.93138861 42.03667226)
08077,Mesa,CO,9.6,Medium,5.195484225303374,5.519492467527293,48.020604695055546,1.0214687839615897,17.9,POINT (-108.4669015 39.0181822)
19195,Worth,IA,8.4,Low,6.551325701014029,3.361564228856507,38.75508529563138,0.9015373751614365,18.3,POINT (-93.26085274 43.37747964)
31177,Washington,NE,7.9,Low,6.332924062471732,3.540124865615368,40.2271087169375,0.9493048255460579,15.3,POINT (-96.22202292 41.53107812)
48053,Burnet,TX,8.3,Low,6.402839698403869,2.0248980741322575,42.24547981922117,0.7529286468775686,16.5,POINT (-98.18250365 30.78835758)
20081,Haskell,KS,9.6,Medium,6.52688277224306,3.4911366773126744,47.44234451697659,0.9431734706192255,18.0,POINT (-100.8710644 37.56203578)
